Country Name,Country Code,GDP
Aruba,ABW,
Afghanistan,AFG,19101353833
Angola,AGO,94635415870
Albania,ALB,15278077447
Andorra,AND,3154057987
Arab World,ARB,2.81541E+12
United Arab Emirates,ARE,4.21142E+11
Argentina,ARG,4.49663E+11
Armenia,ARM,13672802158
American Samoa,ASM,
Antigua and Barbuda,ATG,1727759259
Australia,AUS,1.39268E+12
Austria,AUT,4.46315E+11
Azerbaijan,AZE,48047647059
Burundi,BDI,3012334882
Belgium,BEL,5.29607E+11
Benin,BEN,14390709095
Burkina Faso,BFA,15745810235
Bangladesh,BGD,3.02571E+11
Bulgaria,BGR,67927179737
Bahrain,BHR,38574069149
"Bahamas, The",BHS,12827000000
Bosnia and Herzegovina,BIH,20047848435
Belarus,BLR,63080457023
Belize,BLZ,1879613600
Bermuda,BMU,
Bolivia,BOL,40895322865
Brazil,BRA,1.83976E+12
Barbados,BRB,5209000000
Brunei Darussalam,BRN,13469422941
Bhutan,BTN,
Botswana,BWA,18340510789
Central African Republic,CAF,2220307369
Canada,CAN,1.73643E+12
Central Europe and the Baltics,CEB,1.65693E+12
Switzerland,CHE,7.03082E+11
Channel Islands,CHI,
Chile,CHL,2.82318E+11
China,CHN,1.43429E+13
Cote d'Ivoire,CIV,58792205642
Cameroon,CMR,38760467033
"Congo, Dem. Rep.",COD,47319624204
"Congo, Rep.",COG,10820591131
Colombia,COL,3.23803E+11
Comoros,COM,1185728677
Cabo Verde,CPV,1981845741
Costa Rica,CRI,61773944174
Caribbean small states,CSS,76290373254
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,24564647935
Czech Republic,CZE,2.46489E+11
Germany,DEU,3.84563E+12
Djibouti,DJI,3318716359
Dominica,DMA,596033333.3
Denmark,DNK,3.48078E+11
Dominican Republic,DOM,88941298258
Algeria,DZA,1.69988E+11
East Asia & Pacific (excluding high income),EAP,1.72144E+13
Early-demographic dividend,EAR,1.19816E+13
East Asia & Pacific,EAS,2.69798E+13
Europe & Central Asia (excluding high income),ECA,3.23946E+12
Europe & Central Asia,ECS,2.27488E+13
Ecuador,ECU,1.07436E+11
"Egypt, Arab Rep.",EGY,3.03175E+11
Euro area,EMU,1.33358E+13
Eritrea,ERI,
Spain,ESP,1.39412E+12
Estonia,EST,31386949981
Ethiopia,ETH,96107662398
European Union,EUU,1.55928E+13
Fragile and conflict affected situations,FCS,1.74817E+12
Finland,FIN,2.68761E+11
Fiji,FJI,5535548972
France,FRA,2.71552E+12
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,
Gabon,GAB,16657960228
United Kingdom,GBR,2.82711E+12
Georgia,GEO,17743195770
Ghana,GHA,66983634224
Gibraltar,GIB,
Guinea,GIN,13590281809
"Gambia, The",GMB,1763819048
Guinea-Bissau,GNB,1340389411
Equatorial Guinea,GNQ,11026774945
Greece,GRC,2.09853E+11
Grenada,GRD,1228170370
Greenland,GRL,
Guatemala,GTM,76710385880
Guam,GUM,
Guyana,GUY,4280443645
High income,HIC,5.50454E+13
"Hong Kong SAR, China",HKG,3.6603E+11
Honduras,HND,25095395475
Heavily indebted poor countries (HIPC),HPC,7.59267E+11
Croatia,HRV,60415553039
Haiti,HTI,8498981821
Hungary,HUN,1.60967E+11
IBRD only,IBD,3.16182E+13
IDA & IBRD total,IBT,3.39121E+13
IDA total,IDA,2.30137E+12
IDA blend,IDB,9.89721E+11
Indonesia,IDN,1.11919E+12
IDA only,IDX,1.31525E+12
Isle of Man,IMN,
India,IND,2.87514E+12
Not classified,INX,
Ireland,IRL,3.88699E+11
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,2.34094E+11
Iceland,ISL,24188035739
Israel,ISR,3.95099E+11
Italy,ITA,2.00124E+12
Jamaica,JAM,16458071068
Jordan,JOR,43743661972
Japan,JPN,5.08177E+12
Kazakhstan,KAZ,1.80162E+11
Kenya,KEN,95503088538
Kyrgyz Republic,KGZ,8454619608
Cambodia,KHM,27089389787
Kiribati,KIR,194647201.9
St. Kitts and Nevis,KNA,1050992593
"Korea, Rep.",KOR,1.64238E+12
Kuwait,KWT,1.34761E+11
Latin America & Caribbean (excluding high income),LAC,5.13633E+12
Lao PDR,LAO,18173839128
Lebanon,LBN,53367042272
Liberia,LBR,3070518100
Libya,LBY,52076250948
St. Lucia,LCA,2122450630
Latin America & Caribbean,LCN,5.71925E+12
Least developed countries: UN classification,LDC,1.1054E+12
Low income,LIC,5.21274E+11
Liechtenstein,LIE,
Sri Lanka,LKA,84008783756
Lower middle income,LMC,6.34111E+12
Low & middle income,LMY,3.27058E+13
Lesotho,LSO,2460072444
Late-demographic dividend,LTE,2.29858E+13
Lithuania,LTU,54219315600
Luxembourg,LUX,71104919108
Latvia,LVA,34117202555
"Macao SAR, China",MAC,53859116536
St. Martin (French part),MAF,
Morocco,MAR,1.18725E+11
Monaco,MCO,
Moldova,MDA,11955435457
Madagascar,MDG,14083906357
Maldives,MDV,5729248472
Middle East & North Africa,MEA,3.70139E+12
Mexico,MEX,1.25829E+12
Marshall Islands,MHL,
Middle income,MIC,3.2166E+13
North Macedonia,MKD,12694823394
Mali,MLI,17510141171
Malta,MLT,14786156563
Myanmar,MMR,76085852617
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,5494736901
Mongolia,MNG,13852850259
Northern Mariana Islands,MNP,
Mozambique,MOZ,14934159926
Mauritania,MRT,7593752450
Mauritius,MUS,14180444557
Malawi,MWI,7666704427
Malaysia,MYS,3.64702E+11
