month,nltk,spacy,stanford-nlp,python,r,numpy,scipy,matlab,machine-learning,pandas,pytorch,keras,nlp,apache-spark,hadoop,pyspark,python-3.x,tensorflow,deep-learning,neural-network,lstm,time-series,pillow,rasa,opencv,pipenv,seaborn,Dask,jupyter,AllenNLP,Theano,plotly,scikit-learn,BeautifulSoup,scrapy,Gensim,FastText,Pydot,Pybrain,Pytil,Pygame,Colab,Shogun,KNIME,Apache,Gunicorn,Pygtk,Weka,Conda,Ray,matlab,accord.net,regression,classification,correlation,cluster-analysis,H2o,Mallet,Numba,Tableau,Trifacta,PyArrow,Rasterio,Orange3,PyMC3,Opennn,Oryx,Istio,Venes,Plotnine,Gluon,Plato,Sympy,Flair,stanford-nlp,pyqt,Nolearn,Lasagne,OCR,Apache-spark-mlib,azure-virtual-machine
09-Jan,0,0,0,631,8,6,2,19,8,0,0,0,8,0,1,0,4,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,95,0,3,0,0,0,19,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,0,0
09-Feb,1,0,0,633,9,7,3,27,4,0,0,0,9,0,1,0,12,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,114,0,7,0,0,0,27,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0
09-Mar,0,0,0,766,4,4,2,24,3,0,0,0,12,0,1,0,4,0,0,11,0,1,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,104,0,6,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0
09-Apr,0,0,0,768,12,6,3,32,10,0,0,0,14,0,6,0,10,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,0,0,0,111,0,3,0,0,0,32,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0
09-May,1,0,0,1003,2,7,2,42,7,0,0,0,9,0,3,0,19,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,127,0,5,0,0,0,42,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0
09-Jun,0,0,0,1046,5,13,2,44,8,0,0,0,13,0,4,0,13,0,0,5,0,2,0,0,9,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,157,0,11,0,0,0,44,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,4,0,0
09-Jul,1,0,1,1165,51,6,7,39,6,0,0,0,16,0,8,0,13,0,0,1,0,5,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,188,0,12,0,0,0,39,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,6,0,0
09-Aug,2,0,0,1143,47,10,5,34,8,0,0,0,19,0,7,0,16,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,168,0,21,1,0,0,34,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0
09-Sep,0,0,0,1169,139,8,2,51,2,0,0,0,12,0,11,0,17,0,0,5,0,5,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,167,0,12,0,0,0,51,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0
09-Oct,2,0,0,1424,73,27,9,71,11,0,0,0,11,0,6,0,25,0,0,13,0,6,0,0,32,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,209,0,5,0,0,0,71,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0
