date,pm25
2021/9/1,34.0
2021/9/2,38.0
2021/9/3,44.0
2021/9/4,52.0
2021/9/5,59.0
2021/9/6,55.0
2021/9/7,60.0
2021/9/8,54.0
2021/9/9,54.0
2021/9/10,54.0
2021/9/11,55.0
2021/9/12,42.0
2021/9/13,30.0
2021/9/14,46.0
2021/9/15,52.0
2021/9/16,28.0
2021/9/17,23.0
2021/9/18,25.0
2021/9/19,29.0
2021/9/20,37.0
2021/9/21,46.0
2021/9/22,39.0
2021/9/23,39.0
2021/9/24,32.0
2021/9/25,45.0
2021/9/26,53.0
2021/9/27,62.0
2021/8/1,32.0
2021/8/2,20.0
2021/8/3,16.0
2021/8/4,17.0
2021/8/5,22.0
2021/8/6,20.0
2021/8/7,16.0
2021/8/8,10.0
2021/8/9,20.0
2021/8/10,28.0
2021/8/11,30.0
2021/8/12,34.0
2021/8/13,54.0
2021/8/14,57.0
2021/8/15,51.0
2021/8/16,35.0
2021/8/17,21.0
2021/8/18,21.0
2021/8/19,17.0
2021/8/20,22.0
2021/8/21,32.0
2021/8/22,39.0
2021/8/23,14.0
2021/8/24,32.0
2021/8/25,36.0
2021/8/26,20.0
2021/8/27,11.0
2021/8/28,14.0
2021/8/29,23.0
2021/8/30,23.0
2021/8/31,22.0
2021/7/1,10.0
2021/7/2,16.0
2021/7/3,36.0
2021/7/4,44.0
2021/7/5,18.0
2021/7/6,14.0
2021/7/7,12.0
2021/7/8,23.0
2021/7/9,23.0
2021/7/10,21.0
2021/7/11,27.0
2021/7/12,27.0
2021/7/13,41.0
2021/7/14,18.0
2021/7/15,21.0
2021/7/16,34.0
2021/7/17,46.0
2021/7/18,35.0
2021/7/19,37.0
2021/7/20,43.0
2021/7/21,43.0
2021/7/22,45.0
2021/7/23,54.0
2021/7/24,58.0
2021/7/25,45.0
2021/7/26,39.0
2021/7/27,34.0
2021/7/28,39.0
2021/7/29,31.0
2021/7/30,40.0
2021/7/31,27.0
2021/6/1,38.0
2021/6/2,31.0
2021/6/3,36.0
2021/6/4,44.0
2021/6/5,44.0
2021/6/6,55.0
2021/6/7,59.0
2021/6/8,60.0
2021/6/9,50.0
2021/6/10,40.0
2021/6/11,52.0
2021/6/12,50.0
2021/6/13,23.0
2021/6/14,33.0
2021/6/15,41.0
2021/6/16,44.0
2021/6/17,42.0
2021/6/18,48.0
2021/6/19,62.0
2021/6/20,75.0
2021/6/21,49.0
2021/6/22,31.0
2021/6/23,49.0
2021/6/24,42.0
2021/6/25,31.0
2021/6/26,38.0
2021/6/27,45.0
2021/6/28,46.0
2021/6/29,41.0
2021/6/30,12.0
2021/5/1,76.0
2021/5/2,32.0
2021/5/3,31.0
2021/5/4,40.0
2021/5/5,13.0
2021/5/6,19.0
2021/5/7,14.0
2021/5/8,32.0
2021/5/9,36.0
2021/5/10,25.0
2021/5/11,33.0
2021/5/12,15.0
2021/5/13,10.0
2021/5/14,16.0
2021/5/15,22.0
2021/5/16,12.0
2021/5/17,14.0
2021/5/18,10.0
2021/5/19,17.0
2021/5/20,19.0
2021/5/21,22.0
2021/5/22,10.0
2021/5/23,23.0
2021/5/24,20.0
2021/5/25,10.0
2021/5/26,13.0
2021/5/27,13.0
2021/5/28,19.0
2021/5/29,30.0
2021/5/30,29.0
2021/5/31,36.0
2021/4/1,67.0
2021/4/2,42.0
2021/4/3,26.0
2021/4/4,32.0
2021/4/5,43.0
2021/4/6,14.0
2021/4/7,21.0
2021/4/8,26.0
2021/4/9,57.0
2021/4/10,67.0
2021/4/11,62.0
2021/4/12,31.0
2021/4/13,42.0
2021/4/14,34.0
2021/4/15,39.0
2021/4/16,31.0
2021/4/17,52.0
2021/4/18,71.0
2021/4/19,68.0
2021/4/20,77.0
2021/4/21,61.0
2021/4/22,44.0
2021/4/23,34.0
2021/4/24,54.0
2021/4/25,44.0
2021/4/26,30.0
2021/4/27,44.0
2021/4/28,55.0
2021/4/29,36.0
2021/4/30,47.0
2021/3/1,90.0
2021/3/2,103.0
2021/3/3,107.0
2021/3/4,111.0
2021/3/5,46.0
2021/3/6,67.0
2021/3/7,74.0
2021/3/8,70.0
2021/3/9,82.0
2021/3/10,98.0
2021/3/11,54.0
2021/3/12,12.0
2021/3/13,9.0
2021/3/14,14.0
2021/3/15,25.0
2021/3/16,18.0
2021/3/17,37.0
2021/3/18,42.0
2021/3/19,42.0
2021/3/20,37.0
2021/3/21,50.0
2021/3/22,50.0
2021/3/23,56.0
2021/3/24,75.0
2021/3/25,75.0
2021/2/25,130.0
2021/2/26,93.0
2021/2/27,51.0
2021/2/28,49.0
2020/10/1,63.0
2020/10/3,38.0
2020/10/4,19.0
2020/10/5,22.0
2020/10/6,10.0
2020/10/7,11.0
2020/10/8,18.0
2020/10/9,19.0
2020/10/10,27.0
2020/10/11,44.0
2020/10/12,38.0
2020/10/13,39.0
2020/10/14,13.0
2020/10/15,19.0
2020/10/16,17.0
2020/10/17,26.0
2020/10/18,36.0
2020/10/19,57.0
2020/10/20,73.0
2020/10/21,91.0
2020/10/22,90.0
2020/10/23,73.0
2020/10/24,36.0
2020/10/25,66.0
2020/10/26,43.0
2020/10/27,32.0
2020/10/28,44.0
2020/10/29,23.0
2020/10/30,13.0
2020/10/31,34.0
2020/11/1,51.0
2020/11/2,18.0
2020/11/3,25.0
2020/11/4,36.0
2020/11/5,48.0
2020/11/6,92.0
2020/11/7,98.0
2020/11/8,75.0
2020/11/9,58.0
2020/11/10,70.0
2020/11/11,61.0
2020/11/12,65.0
2020/11/13,79.0
2020/11/14,78.0
2020/11/15,69.0
2020/11/16,36.0
2020/11/17,24.0
2020/11/18,60.0
2020/11/19,51.0
2020/11/20,27.0
2020/11/21,75.0
2020/11/22,85.0
2020/11/23,54.0
2020/11/24,74.0
2020/11/25,68.0
2020/11/26,75.0
2020/11/27,74.0
2020/11/28,74.0
2020/11/29,47.0
2020/11/30,64.0
2020/12/1,84.0
2020/12/2,76.0
2020/7/1,19.0
2020/7/2,19.0
2020/7/3,15.0
2020/7/4,25.0
2020/7/5,22.0
2020/7/6,12.0
2020/7/7,14.0
2020/7/8,23.0
2020/7/9,24.0
2020/7/10,25.0
2020/7/11,30.0
2020/7/12,28.0
2020/7/13,16.0
2020/7/14,19.0
2020/7/15,32.0
2020/7/16,26.0
2020/7/17,32.0
2020/7/18,35.0
2020/7/19,46.0
2020/7/20,47.0
2020/7/21,44.0
2020/7/22,22.0
2020/7/23,27.0
2020/7/24,34.0
2020/7/25,28.0
2020/7/26,31.0
2020/7/27,20.0
2020/7/28,25.0
2020/7/29,24.0
2020/7/30,31.0
2020/7/31,30.0
2020/8/1,24.0
2020/8/2,44.0
2020/8/3,41.0
2020/8/4,28.0
2020/8/5,31.0
2020/8/6,33.0
2020/8/7,56.0
2020/8/8,65.0
2020/8/9,77.0
2020/8/10,75.0
2020/8/11,57.0
2020/8/12,62.0
2020/8/13,55.0
2020/8/14,40.0
2020/8/15,57.0
2020/8/16,61.0
2020/8/17,46.0
2020/8/18,27.0
2020/8/19,23.0
2020/8/20,30.0
2020/8/21,28.0
2020/8/22,29.0
2020/8/23,25.0
2020/8/24,17.0
2020/8/25,19.0
2020/8/26,27.0
2020/8/27,15.0
2020/8/28,28.0
2020/8/29,12.0
2020/8/30,21.0
2020/8/31,11.0
2020/9/1,27.0
2020/9/2,25.0
2020/9/3,25.0
2020/9/4,28.0
2020/9/5,41.0
2020/9/6,24.0
2020/9/7,22.0
2020/9/8,35.0
2020/9/9,41.0
2020/9/10,38.0
2020/9/11,26.0
2020/9/12,43.0
2020/9/13,47.0
2020/9/14,45.0
2020/9/15,51.0
2020/9/16,60.0
2020/9/17,38.0
2020/9/18,17.0
2020/9/19,26.0
2020/9/20,28.0
