prodejni_cena_mil,plocha_pozemku_pred_domem_m2,sousedstvi,plocha_pozemku_m2,obytna_plocha_m2,celkova_kvalita,rok_vystavby,rok_rekonstrukce,pocet_aut_v_garazi,plocha_garaze_m2,pocet_koupelen
4.17,6.038647342995169,CollgCr,785.0241545893721,158.8628762541806,7,2003,2003,2,50.910442214790045,2
3.63,7.432181345224824,Veenker,891.8617614269789,117.2426607209216,6,1976,1976,2,42.73504273504274,2
4.47,6.317354143441101,CollgCr,1045.1505016722408,165.9234485321442,7,2001,2002,2,56.48457822370866,2
2.8,5.574136008918618,Crawfor,887.2166480862134,159.51319212188778,7,1915,1970,3,59.64325529542921,1
5.0,7.803790412486065,NoRidge,1324.786324786325,204.19918246005204,8,2000,2000,3,77.66629505759941,2
2.86,7.896692679301376,Mitchel,1311.3154960981049,126.53288740245264,5,1993,1995,2,44.593088071348944,1
6.14,6.967670011148273,Somerst,936.8264585655892,157.37643998513565,8,2004,2005,2,59.08584169453735,2
4.0,,NWAmes,964.5113340765516,194.1657376439985,7,1973,1973,2,44.96469713861018,2
2.598,4.7380156075808255,OldTown,568.561872909699,164.80862133036047,7,1931,1950,2,43.47826086956522,2
2.36,4.645113340765515,BrkSide,689.3348197696024,100.0557413600892,5,1939,1950,1,19.04496469713861,1
2.59,6.503158677071721,Sawyer,1040.5053883314754,96.61835748792272,5,1965,1965,1,35.67447045707915,1
6.9,7.896692679301376,NridgHt,1107.76662950576,215.90486807878116,9,2005,2006,3,68.37606837606837,3
2.88,,Sawyer,1204.756596060944,84.726867335563,5,1962,1962,1,32.70159791898922,1
5.59,8.454106280193237,CollgCr,989.5949461166852,138.7959866220736,7,2006,2007,3,78.03790412486065,2
3.14,,NAmes,1014.4927536231884,116.4065403195838,6,1960,1960,1,32.70159791898922,1
2.64,4.7380156075808255,BrkSide,568.561872909699,79.338535860275,7,1929,2001,2,53.51170568561873,1
2.98,,NAmes,1044.3143812709031,93.27387588257156,6,1970,1970,2,44.593088071348944,1
1.8,6.688963210702341,Sawyer,1002.5083612040136,120.40133779264217,4,1967,1967,2,47.937569676700114,2
3.18,6.13154960981048,SawyerW,1272.2965440356743,103.49312523225568,5,2004,2004,2,53.51170568561873,1
2.78,6.503158677071721,NAmes,702.3411371237459,124.3961352657005,5,1958,1965,1,27.313266443701227,1
6.506,9.38312894834634,NridgHt,1320.605722779636,220.73578595317727,8,2005,2006,3,79.24563359345969,3
2.788,5.295429208472688,IDOTRR,692.0289855072464,102.93571163136382,7,1930,1950,1,26.012634708286885,1
4.6,6.967670011148273,CollgCr,905.053883314753,166.759568933482,8,2002,2002,2,49.6098104793757,2
2.598,4.087699739873653,MeadowV,392.4191750278707,98.47640282422893,5,1976,1976,2,53.14009661835749,1
3.08,,Sawyer,766.0720921590487,98.47640282422893,5,1968,2001,1,25.08361204013378,1
5.126,10.219249349684134,NridgHt,1321.9992567818656,148.64362690449647,8,2007,2007,3,82.68301746562616,2
2.696,5.574136008918618,NAmes,668.8963210702342,83.61204013377927,5,1951,2000,2,53.51170568561873,1
6.12,9.10442214790041,NridgHt,1066.3322185061315,158.30546265328874,8,2007,2008,3,71.72054998141955,2
4.15,4.366406540319584,NAmes,1516.2578966926794,148.64362690449647,5,1957,1997,1,29.635823114083987,1
1.37,5.574136008918618,BrkSide,587.5139353400224,48.30917874396136,4,1927,1950,1,22.296544035674472,1
0.8,4.645113340765515,IDOTRR,789.6692679301375,122.35228539576366,4,1920,1950,1,23.22556670382757,1
2.987,,Sawyer,793.7569676700112,114.08398364920104,5,1966,2006,1,25.17651430694909,1
3.598,7.896692679301376,CollgCr,1026.4771460423635,114.64139725009292,8,2007,2007,2,44.96469713861018,2
3.31,6.503158677071721,NAmes,980.3047194351544,157.9338535860275,5,1959,1959,2,41.527313266443706,1
5.55,5.574136008918618,NridgHt,679.3942772203642,145.02043849869938,9,2005,2005,2,51.65366034931253,2
6.18,10.033444816053512,NridgHt,1246.5626161278335,227.79635823114089,8,2004,2005,3,64.19546636937942,3
2.9,10.405053883314752,CollgCr,1008.8257153474544,101.9137866963954,5,1994,1995,2,62.43032329988852,1
3.06,6.874767744332962,NAmes,792.6421404682275,120.49424005945744,5,1954,1990,2,46.265328874024526,1
2.18,6.317354143441101,NAmes,735.9717577108881,98.19769602378298,5,1953,2007,1,22.85395763656633,1
1.64,6.038647342995169,Edwards,561.1296915644742,107.02341137123746,4,1955,1955,0,0.0,2
3.2,7.803790412486065,NAmes,804.3478260869566,123.00260126347084,6,1965,1965,2,40.876997398736535,2
3.4,10.683760683760685,Timber,1570.5128205128206,123.37421033073208,5,1959,1959,1,28.613898179115573,1
2.88,,SawyerW,852.8428093645485,82.1256038647343,5,1983,1983,2,46.82274247491639,1
2.605,,CollgCr,854.7008547008547,87.14232627276107,5,1975,1980,1,28.613898179115573,1
2.82,6.503158677071721,NAmes,738.1085098476403,106.83760683760684,5,1959,1959,1,27.87068004459309,1
6.398,5.667038275733928,NridgHt,711.4455592716463,162.76477146042365,9,2005,2005,2,53.51170568561873,2
4.79372,4.459308807134894,Mitchel,1191.1928651059086,199.64697138610185,7,2003,2003,2,62.2445187662579,1
4.994,7.803790412486065,Somerst,1030.843552582683,153.84615384615387,8,2006,2006,3,76.7372723894463,2
2.26,3.06577480490524,OldTown,413.9725009290227,134.89409141583056,4,1920,2008,0,0.0,2
2.54,6.13154960981048,Sawyer,719.2493496841323,88.72166480862134,5,1966,1966,1,35.860274990709776,1
3.54,,Gilbert,1288.4615384615386,136.56633221850615,6,1997,1997,2,36.0460795243404,2
2.29,4.830917874396135,BrkSide,579.7101449275362,109.25306577480492,6,1934,1950,2,49.05239687848384,1
2.2,10.219249349684134,IDOTRR,787.0680044593089,75.80824972129321,5,1963,1963,2,47.937569676700114,1
7.7,6.317354143441101,Veenker,4670.289855072464,171.12597547380156,9,1981,1987,3,83.05462653288741,0
2.6,5.574136008918618,NAmes,662.7647714604237,126.347082868822,5,1955,1955,2,53.14009661835749,1
3.61,9.29022668153103,NAmes,945.2805648457824,132.3857302118172,6,1964,1964,2,53.51170568561873,2
3.45,2.229654403567447,Somerst,245.72649572649573,161.5570419918246,8,1999,2000,2,44.593088071348944,2
3.93,8.268301746562617,CollgCr,1081.8468970642884,159.7918989223337,7,2004,2004,2,52.48978075065032,2
8.7756,6.13154960981048,StoneBr,1271.0888145670756,273.5971757710888,10,2006,2006,3,59.55035302861391,3
2.498,5.574136008918618,CollgCr,668.8963210702342,72.46376811594203,5,1972,1972,1,32.70159791898922,1
