Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Albania,2021,65.2,46.1,40.6,22.8,89,74.6,86.6,66.1,51.6,82,82.8,70,70
Armenia,2021,71.9,57.3,45,55.3,87.1,81.3,84.3,81.9,74.5,76.9,73.8,75,70
Austria,2021,73.9,86.8,84.8,83.5,45.7,29.1,90,72.6,68.4,81.7,84,90,70
Azerbaijan,2021,70.1,67.9,46.8,55.8,88.1,65.2,99.4,80.5,65.9,73.2,68,70,60
Belarus,2021,61,58.6,39.8,40.4,92.9,55.5,96.5,75.9,75.7,70.2,76,30,20
Belgium,2021,70.1,84,81.3,70.2,46.5,18.4,78.7,80.1,61.1,82,84,85,70
Bosnia and Herzegovina,2021,62.9,44.1,42.4,33.7,93.8,49.5,97.1,48.2,67.8,84.1,69.2,65,60
Bulgaria,2021,70.4,66.2,46.8,43.6,93.9,64.7,99.2,62.9,68.5,85.2,84,70,60
Croatia,2021,63.6,68.4,51.4,41.1,79,35.8,89.6,56.2,43.6,78.7,84,75,60
Cyprus,2021,71.4,78.5,65,57.9,80.2,52.1,82,76.1,60.5,85,84,75,60
Czech Republic,2021,73.8,76.2,64.4,56.8,79.1,51.4,98.1,68.8,77.1,79.7,84,70,80
Denmark,2021,77.8,86.7,93.4,86.9,43.7,23.1,98.2,88.8,73.8,84.5,84,90,80
Estonia,2021,78.2,81.8,86.4,80.8,81,54.4,99.6,72.7,57.8,79.7,84,90,70
Finland,2021,76.1,91.9,97.2,82.2,68,14.3,91.4,85.8,50.5,83.3,84,85,80
France,2021,65.7,82.2,80.1,69.2,50.7,6.3,69,80.2,44.8,77.3,84,75,70
Georgia,2021,77.2,66.9,64.6,59.3,89.1,76.9,94.9,84.9,76.7,76.7,86,80,70
Germany,2021,72.5,78.8,81.5,69.8,60.4,40.3,92.8,82.4,53,77.2,84,80,70
Greece,2021,60.9,55.5,53.6,53.5,59.9,34.2,80,75.8,49.8,80,84,55,50
Hungary,2021,67.2,65.6,48.7,52.4,83.6,35,83.3,59.9,64.8,78.8,84,80,70
Iceland,2021,77.4,87,90.6,72.6,72.4,46.2,97.6,83.6,62,79.4,86.8,80,70
Ireland,2021,81.4,86,82,72.4,76.6,81.1,93.1,81.5,76.1,84.4,84,90,70
Italy,2021,64.9,75.7,63.7,62.3,58.1,28.9,73,68.1,50.5,84.2,84,80,50
Kosovo,2021,66.5,54.5,46.4,55.9,92.6,75,90.5,71.2,64.4,75.7,77.2,65,30
Latvia,2021,72.3,74.7,47.7,55.9,76.7,57.6,96.6,76.5,73.8,79.6,84,85,60
Liechtenstein,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,80
Lithuania,2021,76.9,78.9,74.5,68.7,84.6,66.8,97.2,73.1,74.4,80.1,84,70,70
Luxembourg,2021,76,85.7,92.5,77.6,63.4,46.2,99,66.1,45.9,76.5,84,95,80
Malta,2021,70.2,68.2,55,57.3,68.6,60.9,96.3,67.6,61.8,77.1,84,85,60
Moldova,2021,62.5,60.6,38.7,29.9,94,71,96.5,66.2,39.2,71.5,76.8,55,50
Montenegro,2021,63.4,57.8,51,56.2,83.6,35.3,37.2,73.5,78,83.4,79.4,75,50
Netherlands,2021,76.8,88.9,90.6,72.8,51.7,47.7,95.3,80.5,60.1,80.4,84,90,80
North Macedonia,2021,68.6,62.6,41.9,40.4,94.9,71,87.8,77.8,65.2,78.7,77.4,65,60
Norway,2021,73.4,82.4,95.8,86.3,57.1,25.3,96.6,85.5,57.8,75.4,84,75,60
Poland,2021,69.7,63.3,65,48.9,73.9,48.1,94.6,61.6,66.1,80.8,84,80,70
Portugal,2021,67.5,74.1,68.2,68.5,60,42.4,78.2,75.9,44.1,85,84,70,60
Romania,2021,69.5,68.8,54.6,63.1,94.3,69.2,78.9,59.7,63.6,77.7,84,70,50
Russia,2021,61.5,54.4,41.7,42.4,93,66.1,99.6,84.1,55.4,67.3,74,30,30
